"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",67,3711,12,3790,2022-05-20
"20 - 24",4,1047,3,1054,2022-05-20
"25 - 29",12,1793,3,1808,2022-05-20
"30 - 34",14,2487,15,2516,2022-05-20
"35 - 39",12,2541,16,2569,2022-05-20
"40 - 44",16,2803,22,2841,2022-05-20
"45 - 49",21,4075,41,4137,2022-05-20
"50 - 54",37,6264,113,6414,2022-05-20
"55 - 59",40,7629,198,7867,2022-05-20
"60 - 64",54,8121,381,8556,2022-05-20
"65 - 69",78,8327,756,9161,2022-05-20
"70 - 74",98,9966,1539,11603,2022-05-20
"75 - 79",121,9745,2592,12458,2022-05-20
"80 - 84",103,8193,3001,11297,2022-05-20
"85 - 89",86,5428,2284,7798,2022-05-20
">90",42,2518,1049,3609,2022-05-20
