"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",26,1466,6,1498,2021-09-09
"20 - 24",5,536,3,544,2021-09-09
"25 - 29",10,881,2,893,2021-09-09
"30 - 34",16,1263,11,1290,2021-09-09
"35 - 39",19,1447,10,1476,2021-09-09
"40 - 44",27,1801,13,1841,2021-09-09
"45 - 49",21,2968,26,3015,2021-09-09
"50 - 54",29,4603,77,4709,2021-09-09
"55 - 59",46,5572,131,5749,2021-09-09
"60 - 64",33,5551,245,5829,2021-09-09
"65 - 69",38,5432,515,5985,2021-09-09
"70 - 74",43,6379,1079,7501,2021-09-09
"75 - 79",63,5982,1769,7814,2021-09-09
"80 - 84",56,4658,2026,6740,2021-09-09
"85 - 89",28,2882,1484,4394,2021-09-09
">90",14,1269,624,1907,2021-09-09
