"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",61,3699,12,3772,2022-05-10
"20 - 24",3,1044,3,1050,2022-05-10
"25 - 29",15,1785,3,1803,2022-05-10
"30 - 34",13,2480,15,2508,2022-05-10
"35 - 39",19,2531,16,2566,2022-05-10
"40 - 44",15,2798,22,2835,2022-05-10
"45 - 49",17,4070,41,4128,2022-05-10
"50 - 54",37,6249,113,6399,2022-05-10
"55 - 59",47,7602,198,7847,2022-05-10
"60 - 64",68,8086,377,8531,2022-05-10
"65 - 69",86,8285,754,9125,2022-05-10
"70 - 74",116,9902,1532,11550,2022-05-10
"75 - 79",143,9676,2584,12403,2022-05-10
"80 - 84",125,8121,2991,11237,2022-05-10
"85 - 89",124,5361,2274,7759,2022-05-10
">90",52,2489,1043,3584,2022-05-10
