"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",71,4860,19,4950,2023-03-09
"20 - 24",5,1217,4,1226,2023-03-09
"25 - 29",10,2078,3,2091,2023-03-09
"30 - 34",18,2823,17,2858,2023-03-09
"35 - 39",15,2870,19,2904,2023-03-09
"40 - 44",21,3143,25,3189,2023-03-09
"45 - 49",18,4469,49,4536,2023-03-09
"50 - 54",44,6914,129,7087,2023-03-09
"55 - 59",67,8579,240,8886,2023-03-09
"60 - 64",68,9498,438,10004,2023-03-09
"65 - 69",118,10309,879,11306,2023-03-09
"70 - 74",172,12564,1737,14473,2023-03-09
"75 - 79",218,13130,2926,16274,2023-03-09
"80 - 84",219,11478,3348,15045,2023-03-09
"85 - 89",157,7968,2628,10753,2023-03-09
">90",90,3902,1270,5262,2023-03-09
