"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",61,1689,10,1760,2021-11-16
"20 - 24",6,598,3,607,2021-11-16
"25 - 29",17,987,2,1006,2021-11-16
"30 - 34",18,1436,11,1465,2021-11-16
"35 - 39",30,1612,10,1652,2021-11-16
"40 - 44",35,1990,14,2039,2021-11-16
"45 - 49",45,3186,28,3259,2021-11-16
"50 - 54",66,4854,78,4998,2021-11-16
"55 - 59",71,5855,140,6066,2021-11-16
"60 - 64",110,5874,260,6244,2021-11-16
"65 - 69",139,5770,545,6454,2021-11-16
"70 - 74",201,6759,1141,8101,2021-11-16
"75 - 79",247,6411,1888,8546,2021-11-16
"80 - 84",283,5062,2185,7530,2021-11-16
"85 - 89",192,3167,1611,4970,2021-11-16
">90",87,1399,694,2180,2021-11-16
