"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",76,3822,13,3911,2022-06-28
"20 - 24",11,1062,3,1076,2022-06-28
"25 - 29",10,1824,3,1837,2022-06-28
"30 - 34",17,2513,15,2545,2022-06-28
"35 - 39",15,2566,16,2597,2022-06-28
"40 - 44",15,2840,22,2877,2022-06-28
"45 - 49",17,4114,42,4173,2022-06-28
"50 - 54",46,6324,112,6482,2022-06-28
"55 - 59",60,7707,198,7965,2022-06-28
"60 - 64",75,8216,385,8676,2022-06-28
"65 - 69",94,8486,766,9346,2022-06-28
"70 - 74",125,10140,1548,11813,2022-06-28
"75 - 79",175,9960,2611,12746,2022-06-28
"80 - 84",150,8387,3028,11565,2022-06-28
"85 - 89",127,5602,2304,8033,2022-06-28
">90",53,2625,1064,3742,2022-06-28
