"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",66,4902,18,4986,2023-03-16
"20 - 24",7,1220,4,1231,2023-03-16
"25 - 29",11,2084,3,2098,2023-03-16
"30 - 34",19,2834,17,2870,2023-03-16
"35 - 39",19,2881,19,2919,2023-03-16
"40 - 44",19,3152,25,3196,2023-03-16
"45 - 49",24,4481,50,4555,2023-03-16
"50 - 54",50,6940,128,7118,2023-03-16
"55 - 59",71,8613,241,8925,2023-03-16
"60 - 64",79,9551,440,10070,2023-03-16
"65 - 69",131,10392,883,11406,2023-03-16
"70 - 74",173,12673,1744,14590,2023-03-16
"75 - 79",221,13261,2934,16416,2023-03-16
"80 - 84",245,11611,3363,15219,2023-03-16
"85 - 89",169,8058,2643,10870,2023-03-16
">90",80,3956,1278,5314,2023-03-16
