"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",78,4055,15,4148,2022-08-15
"20 - 24",7,1114,3,1124,2022-08-15
"25 - 29",15,1899,3,1917,2022-08-15
"30 - 34",15,2605,16,2636,2022-08-15
"35 - 39",12,2645,17,2674,2022-08-15
"40 - 44",17,2907,23,2947,2022-08-15
"45 - 49",14,4206,45,4265,2022-08-15
"50 - 54",39,6447,116,6602,2022-08-15
"55 - 59",54,7919,205,8178,2022-08-15
"60 - 64",56,8532,404,8992,2022-08-15
"65 - 69",90,8900,788,9778,2022-08-15
"70 - 74",123,10676,1592,12391,2022-08-15
"75 - 79",172,10650,2672,13494,2022-08-15
"80 - 84",145,9038,3095,12278,2022-08-15
"85 - 89",116,6092,2374,8582,2022-08-15
">90",64,2909,1111,4084,2022-08-15
