"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",69,4294,15,4378,2022-10-21
"20 - 24",8,1145,4,1157,2022-10-21
"25 - 29",14,1955,3,1972,2022-10-21
"30 - 34",17,2666,16,2699,2022-10-21
"35 - 39",18,2708,17,2743,2022-10-21
"40 - 44",27,2981,23,3031,2022-10-21
"45 - 49",17,4279,46,4342,2022-10-21
"50 - 54",52,6583,120,6755,2022-10-21
"55 - 59",54,8117,212,8383,2022-10-21
"60 - 64",78,8798,410,9286,2022-10-21
"65 - 69",148,9290,815,10253,2022-10-21
"70 - 74",166,11243,1627,13036,2022-10-21
"75 - 79",239,11410,2740,14389,2022-10-21
"80 - 84",213,9789,3173,13175,2022-10-21
"85 - 89",166,6651,2452,9269,2022-10-21
">90",79,3201,1157,4437,2022-10-21
