"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",83,3834,12,3929,2022-07-01
"20 - 24",9,1065,3,1077,2022-07-01
"25 - 29",13,1825,3,1841,2022-07-01
"30 - 34",15,2517,15,2547,2022-07-01
"35 - 39",19,2569,16,2604,2022-07-01
"40 - 44",16,2844,22,2882,2022-07-01
"45 - 49",17,4118,42,4177,2022-07-01
"50 - 54",45,6330,113,6488,2022-07-01
"55 - 59",59,7721,198,7978,2022-07-01
"60 - 64",86,8228,388,8702,2022-07-01
"65 - 69",105,8509,767,9381,2022-07-01
"70 - 74",135,10160,1550,11845,2022-07-01
"75 - 79",175,9993,2615,12783,2022-07-01
"80 - 84",165,8415,3029,11609,2022-07-01
"85 - 89",107,5638,2309,8054,2022-07-01
">90",58,2635,1067,3760,2022-07-01
