"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",74,3762,13,3849,2022-06-15
"20 - 24",6,1055,3,1064,2022-06-15
"25 - 29",11,1811,3,1825,2022-06-15
"30 - 34",13,2499,15,2527,2022-06-15
"35 - 39",12,2555,16,2583,2022-06-15
"40 - 44",20,2825,22,2867,2022-06-15
"45 - 49",19,4096,42,4157,2022-06-15
"50 - 54",39,6303,112,6454,2022-06-15
"55 - 59",42,7668,198,7908,2022-06-15
"60 - 64",47,8167,385,8599,2022-06-15
"65 - 69",70,8409,761,9240,2022-06-15
"70 - 74",84,10066,1544,11694,2022-06-15
"75 - 79",131,9849,2603,12583,2022-06-15
"80 - 84",106,8296,3016,11418,2022-06-15
"85 - 89",93,5520,2298,7911,2022-06-15
">90",46,2571,1057,3674,2022-06-15
