"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",78,4634,19,4731,2023-01-05
"20 - 24",2,1194,4,1200,2023-01-05
"25 - 29",15,2035,3,2053,2023-01-05
"30 - 34",22,2766,17,2805,2023-01-05
"35 - 39",17,2815,18,2850,2023-01-05
"40 - 44",17,3076,24,3117,2023-01-05
"45 - 49",20,4399,48,4467,2023-01-05
"50 - 54",38,6799,126,6963,2023-01-05
"55 - 59",59,8391,227,8677,2023-01-05
"60 - 64",75,9236,426,9737,2023-01-05
"65 - 69",121,9876,848,10845,2023-01-05
"70 - 74",141,12021,1687,13849,2023-01-05
"75 - 79",201,12412,2851,15464,2023-01-05
"80 - 84",173,10769,3271,14213,2023-01-05
"85 - 89",183,7394,2547,10124,2023-01-05
">90",77,3608,1221,4906,2023-01-05
