"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",82,3003,10,3095,2022-03-03
"20 - 24",12,925,3,940,2022-03-03
"25 - 29",34,1543,3,1580,2022-03-03
"30 - 34",25,2188,13,2226,2022-03-03
"35 - 39",31,2299,13,2343,2022-03-03
"40 - 44",25,2600,21,2646,2022-03-03
"45 - 49",25,3854,36,3915,2022-03-03
"50 - 54",60,5853,101,6014,2022-03-03
"55 - 59",74,7060,175,7309,2022-03-03
"60 - 64",102,7339,343,7784,2022-03-03
"65 - 69",133,7322,701,8156,2022-03-03
"70 - 74",163,8698,1422,10283,2022-03-03
"75 - 79",209,8369,2413,10991,2022-03-03
"80 - 84",175,6827,2825,9827,2022-03-03
"85 - 89",140,4381,2106,6627,2022-03-03
">90",50,1967,927,2944,2022-03-03
