"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",50,2050,10,2110,2022-01-02
"20 - 24",6,688,3,697,2022-01-02
"25 - 29",18,1159,3,1180,2022-01-02
"30 - 34",17,1696,13,1726,2022-01-02
"35 - 39",31,1895,11,1937,2022-01-02
"40 - 44",24,2261,17,2302,2022-01-02
"45 - 49",33,3533,30,3596,2022-01-02
"50 - 54",81,5355,89,5525,2022-01-02
"55 - 59",81,6460,160,6701,2022-01-02
"60 - 64",107,6666,306,7079,2022-01-02
"65 - 69",121,6656,640,7417,2022-01-02
"70 - 74",188,7804,1342,9334,2022-01-02
"75 - 79",205,7530,2241,9976,2022-01-02
"80 - 84",150,6065,2635,8850,2022-01-02
"85 - 89",99,3842,1959,5900,2022-01-02
">90",34,1717,842,2593,2022-01-02
