"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",76,3802,13,3891,2022-06-24
"20 - 24",6,1062,3,1071,2022-06-24
"25 - 29",11,1819,3,1833,2022-06-24
"30 - 34",13,2507,15,2535,2022-06-24
"35 - 39",12,2562,16,2590,2022-06-24
"40 - 44",16,2837,22,2875,2022-06-24
"45 - 49",18,4107,42,4167,2022-06-24
"50 - 54",42,6319,112,6473,2022-06-24
"55 - 59",47,7694,198,7939,2022-06-24
"60 - 64",61,8195,386,8642,2022-06-24
"65 - 69",86,8457,764,9307,2022-06-24
"70 - 74",105,10113,1548,11766,2022-06-24
"75 - 79",150,9923,2611,12684,2022-06-24
"80 - 84",125,8355,3020,11500,2022-06-24
"85 - 89",104,5576,2303,7983,2022-06-24
">90",48,2608,1061,3717,2022-06-24
