"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",64,4690,18,4772,2023-01-24
"20 - 24",4,1196,4,1204,2023-01-24
"25 - 29",12,2047,3,2062,2023-01-24
"30 - 34",16,2785,17,2818,2023-01-24
"35 - 39",15,2833,18,2866,2023-01-24
"40 - 44",14,3093,24,3131,2023-01-24
"45 - 49",13,4421,49,4483,2023-01-24
"50 - 54",33,6830,125,6988,2023-01-24
"55 - 59",49,8459,231,8739,2023-01-24
"60 - 64",44,9332,428,9804,2023-01-24
"65 - 69",86,10030,858,10974,2023-01-24
"70 - 74",99,12196,1702,13997,2023-01-24
"75 - 79",147,12644,2881,15672,2023-01-24
"80 - 84",136,11003,3295,14434,2023-01-24
"85 - 89",103,7619,2573,10295,2023-01-24
">90",50,3699,1242,4991,2023-01-24
