"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",67,3648,12,3727,2022-04-22
"20 - 24",4,1036,3,1043,2022-04-22
"25 - 29",19,1762,3,1784,2022-04-22
"30 - 34",19,2460,15,2494,2022-04-22
"35 - 39",17,2521,14,2552,2022-04-22
"40 - 44",16,2783,22,2821,2022-04-22
"45 - 49",20,4052,41,4113,2022-04-22
"50 - 54",58,6193,110,6361,2022-04-22
"55 - 59",66,7543,192,7801,2022-04-22
"60 - 64",97,7996,373,8466,2022-04-22
"65 - 69",136,8167,745,9048,2022-04-22
"70 - 74",174,9725,1526,11425,2022-04-22
"75 - 79",204,9508,2561,12273,2022-04-22
"80 - 84",159,7975,2973,11107,2022-04-22
"85 - 89",145,5233,2259,7637,2022-04-22
">90",75,2422,1028,3525,2022-04-22
