"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",71,3750,13,3834,2022-06-09
"20 - 24",5,1051,3,1059,2022-06-09
"25 - 29",11,1807,3,1821,2022-06-09
"30 - 34",10,2498,15,2523,2022-06-09
"35 - 39",11,2554,16,2581,2022-06-09
"40 - 44",15,2819,22,2856,2022-06-09
"45 - 49",13,4092,42,4147,2022-06-09
"50 - 54",37,6294,113,6444,2022-06-09
"55 - 59",38,7655,198,7891,2022-06-09
"60 - 64",41,8160,384,8585,2022-06-09
"65 - 69",67,8392,763,9222,2022-06-09
"70 - 74",79,10039,1543,11661,2022-06-09
"75 - 79",122,9815,2600,12537,2022-06-09
"80 - 84",91,8270,3014,11375,2022-06-09
"85 - 89",84,5494,2294,7872,2022-06-09
">90",40,2558,1054,3652,2022-06-09
