"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",75,2406,13,2494,2022-01-31
"20 - 24",26,780,3,809,2022-01-31
"25 - 29",28,1325,3,1356,2022-01-31
"30 - 34",33,1878,13,1924,2022-01-31
"35 - 39",41,2052,12,2105,2022-01-31
"40 - 44",30,2401,19,2450,2022-01-31
"45 - 49",26,3671,32,3729,2022-01-31
"50 - 54",66,5571,94,5731,2022-01-31
"55 - 59",76,6729,167,6972,2022-01-31
"60 - 64",76,6972,326,7374,2022-01-31
"65 - 69",98,6912,669,7679,2022-01-31
"70 - 74",119,8162,1377,9658,2022-01-31
"75 - 79",153,7899,2325,10377,2022-01-31
"80 - 84",120,6351,2714,9185,2022-01-31
"85 - 89",96,4022,2022,6140,2022-01-31
">90",43,1805,877,2725,2022-01-31
