"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",61,4184,15,4260,2022-09-27
"20 - 24",8,1131,4,1143,2022-09-27
"25 - 29",15,1930,3,1948,2022-09-27
"30 - 34",13,2634,16,2663,2022-09-27
"35 - 39",14,2674,17,2705,2022-09-27
"40 - 44",19,2948,23,2990,2022-09-27
"45 - 49",12,4240,45,4297,2022-09-27
"50 - 54",43,6518,120,6681,2022-09-27
"55 - 59",45,8015,208,8268,2022-09-27
"60 - 64",55,8645,406,9106,2022-09-27
"65 - 69",86,9078,803,9967,2022-09-27
"70 - 74",115,10945,1611,12671,2022-09-27
"75 - 79",147,11017,2701,13865,2022-09-27
"80 - 84",136,9385,3129,12650,2022-09-27
"85 - 89",98,6351,2412,8861,2022-09-27
">90",50,3044,1131,4225,2022-09-27
