"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",83,4097,15,4195,2022-08-24
"20 - 24",7,1120,3,1130,2022-08-24
"25 - 29",16,1910,3,1929,2022-08-24
"30 - 34",15,2614,16,2645,2022-08-24
"35 - 39",12,2650,17,2679,2022-08-24
"40 - 44",15,2920,23,2958,2022-08-24
"45 - 49",15,4216,45,4276,2022-08-24
"50 - 54",35,6468,117,6620,2022-08-24
"55 - 59",42,7943,207,8192,2022-08-24
"60 - 64",47,8572,405,9024,2022-08-24
"65 - 69",64,8965,794,9823,2022-08-24
"70 - 74",125,10759,1599,12483,2022-08-24
"75 - 79",144,10758,2687,13589,2022-08-24
"80 - 84",124,9148,3102,12374,2022-08-24
"85 - 89",111,6172,2383,8666,2022-08-24
">90",43,2958,1118,4119,2022-08-24
