"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",87,3289,11,3387,2022-03-20
"20 - 24",11,985,3,999,2022-03-20
"25 - 29",29,1661,3,1693,2022-03-20
"30 - 34",42,2300,13,2355,2022-03-20
"35 - 39",30,2405,13,2448,2022-03-20
"40 - 44",30,2677,21,2728,2022-03-20
"45 - 49",39,3935,39,4013,2022-03-20
"50 - 54",62,5996,104,6162,2022-03-20
"55 - 59",103,7245,178,7526,2022-03-20
"60 - 64",139,7572,352,8063,2022-03-20
"65 - 69",195,7598,715,8508,2022-03-20
"70 - 74",229,9025,1458,10712,2022-03-20
"75 - 79",247,8738,2452,11437,2022-03-20
"80 - 84",263,7185,2877,10325,2022-03-20
"85 - 89",200,4650,2164,7014,2022-03-20
">90",102,2093,960,3155,2022-03-20
