"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",68,4201,16,4285,2022-10-04
"20 - 24",6,1134,4,1144,2022-10-04
"25 - 29",17,1934,3,1954,2022-10-04
"30 - 34",16,2640,16,2672,2022-10-04
"35 - 39",14,2682,17,2713,2022-10-04
"40 - 44",22,2959,23,3004,2022-10-04
"45 - 49",13,4252,45,4310,2022-10-04
"50 - 54",39,6534,120,6693,2022-10-04
"55 - 59",50,8046,209,8305,2022-10-04
"60 - 64",74,8672,407,9153,2022-10-04
"65 - 69",101,9122,805,10028,2022-10-04
"70 - 74",123,10997,1616,12736,2022-10-04
"75 - 79",195,11083,2709,13987,2022-10-04
"80 - 84",174,9460,3138,12772,2022-10-04
"85 - 89",127,6409,2418,8954,2022-10-04
">90",67,3074,1136,4277,2022-10-04
