"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",86,3144,10,3240,2022-03-11
"20 - 24",15,956,3,974,2022-03-11
"25 - 29",42,1589,3,1634,2022-03-11
"30 - 34",37,2240,13,2290,2022-03-11
"35 - 39",32,2350,13,2395,2022-03-11
"40 - 44",26,2642,21,2689,2022-03-11
"45 - 49",30,3890,37,3957,2022-03-11
"50 - 54",77,5914,101,6092,2022-03-11
"55 - 59",93,7149,176,7418,2022-03-11
"60 - 64",121,7449,347,7917,2022-03-11
"65 - 69",136,7449,708,8293,2022-03-11
"70 - 74",217,8837,1440,10494,2022-03-11
"75 - 79",228,8514,2435,11177,2022-03-11
"80 - 84",207,6971,2846,10024,2022-03-11
"85 - 89",163,4503,2130,6796,2022-03-11
">90",75,2010,943,3028,2022-03-11
