"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",62,1889,11,1962,2021-12-09
"20 - 24",12,648,3,663,2021-12-09
"25 - 29",24,1086,2,1112,2021-12-09
"30 - 34",32,1568,12,1612,2021-12-09
"35 - 39",38,1765,11,1814,2021-12-09
"40 - 44",46,2139,16,2201,2021-12-09
"45 - 49",70,3368,30,3468,2021-12-09
"50 - 54",98,5109,84,5291,2021-12-09
"55 - 59",122,6156,151,6429,2021-12-09
"60 - 64",142,6294,280,6716,2021-12-09
"65 - 69",199,6217,589,7005,2021-12-09
"70 - 74",268,7300,1243,8811,2021-12-09
"75 - 79",384,6973,2092,9449,2021-12-09
"80 - 84",283,5624,2464,8371,2021-12-09
"85 - 89",187,3580,1831,5598,2021-12-09
">90",96,1580,783,2459,2021-12-09
