"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",37,1619,6,1662,2021-10-31
"20 - 24",5,574,3,582,2021-10-31
"25 - 29",15,938,2,955,2021-10-31
"30 - 34",13,1375,11,1399,2021-10-31
"35 - 39",19,1547,10,1576,2021-10-31
"40 - 44",25,1921,13,1959,2021-10-31
"45 - 49",16,3107,28,3151,2021-10-31
"50 - 54",28,4755,77,4860,2021-10-31
"55 - 59",46,5741,138,5925,2021-10-31
"60 - 64",60,5719,252,6031,2021-10-31
"65 - 69",71,5594,525,6190,2021-10-31
"70 - 74",93,6554,1104,7751,2021-10-31
"75 - 79",125,6165,1807,8097,2021-10-31
"80 - 84",139,4840,2089,7068,2021-10-31
"85 - 89",89,2989,1535,4613,2021-10-31
">90",48,1322,652,2022,2021-10-31
