"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",94,2683,11,2788,2022-02-12
"20 - 24",24,839,3,866,2022-02-12
"25 - 29",32,1430,3,1465,2022-02-12
"30 - 34",35,2034,13,2082,2022-02-12
"35 - 39",33,2174,12,2219,2022-02-12
"40 - 44",40,2477,19,2536,2022-02-12
"45 - 49",42,3740,33,3815,2022-02-12
"50 - 54",71,5680,97,5848,2022-02-12
"55 - 59",80,6865,170,7115,2022-02-12
"60 - 64",87,7114,332,7533,2022-02-12
"65 - 69",117,7044,679,7840,2022-02-12
"70 - 74",176,8332,1396,9904,2022-02-12
"75 - 79",175,8050,2345,10570,2022-02-12
"80 - 84",154,6506,2755,9415,2022-02-12
"85 - 89",117,4136,2057,6310,2022-02-12
">90",44,1861,888,2793,2022-02-12
