"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",75,4619,18,4712,2023-01-02
"20 - 24",4,1191,4,1199,2023-01-02
"25 - 29",15,2029,3,2047,2023-01-02
"30 - 34",23,2757,17,2797,2023-01-02
"35 - 39",17,2800,18,2835,2023-01-02
"40 - 44",17,3069,24,3110,2023-01-02
"45 - 49",22,4380,47,4449,2023-01-02
"50 - 54",37,6770,126,6933,2023-01-02
"55 - 59",59,8366,226,8651,2023-01-02
"60 - 64",62,9181,426,9669,2023-01-02
"65 - 69",106,9808,844,10758,2023-01-02
"70 - 74",129,11930,1683,13742,2023-01-02
"75 - 79",187,12305,2840,15332,2023-01-02
"80 - 84",164,10635,3258,14057,2023-01-02
"85 - 89",176,7298,2535,10009,2023-01-02
">90",75,3555,1216,4846,2023-01-02
