"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",66,4408,17,4491,2022-11-08
"20 - 24",11,1168,4,1183,2022-11-08
"25 - 29",13,1982,3,1998,2022-11-08
"30 - 34",16,2702,16,2734,2022-11-08
"35 - 39",17,2753,17,2787,2022-11-08
"40 - 44",19,3011,24,3054,2022-11-08
"45 - 49",14,4313,46,4373,2022-11-08
"50 - 54",46,6654,123,6823,2022-11-08
"55 - 59",47,8213,219,8479,2022-11-08
"60 - 64",69,8928,412,9409,2022-11-08
"65 - 69",100,9499,823,10422,2022-11-08
"70 - 74",137,11489,1647,13273,2022-11-08
"75 - 79",198,11723,2778,14699,2022-11-08
"80 - 84",158,10086,3206,13450,2022-11-08
"85 - 89",126,6890,2473,9489,2022-11-08
">90",68,3317,1178,4563,2022-11-08
