"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",65,4390,17,4472,2022-11-02
"20 - 24",7,1164,4,1175,2022-11-02
"25 - 29",14,1978,3,1995,2022-11-02
"30 - 34",17,2693,16,2726,2022-11-02
"35 - 39",19,2747,17,2783,2022-11-02
"40 - 44",20,3008,24,3052,2022-11-02
"45 - 49",14,4308,46,4368,2022-11-02
"50 - 54",47,6637,122,6806,2022-11-02
"55 - 59",53,8193,217,8463,2022-11-02
"60 - 64",79,8894,412,9385,2022-11-02
"65 - 69",128,9447,822,10397,2022-11-02
"70 - 74",149,11433,1643,13225,2022-11-02
"75 - 79",207,11637,2770,14614,2022-11-02
"80 - 84",191,10006,3193,13390,2022-11-02
"85 - 89",155,6822,2468,9445,2022-11-02
">90",63,3284,1176,4523,2022-11-02
