"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",95,3197,11,3303,2022-03-14
"20 - 24",16,966,3,985,2022-03-14
"25 - 29",40,1616,3,1659,2022-03-14
"30 - 34",37,2265,13,2315,2022-03-14
"35 - 39",28,2371,13,2412,2022-03-14
"40 - 44",27,2652,21,2700,2022-03-14
"45 - 49",33,3902,38,3973,2022-03-14
"50 - 54",60,5951,102,6113,2022-03-14
"55 - 59",101,7179,176,7456,2022-03-14
"60 - 64",126,7487,346,7959,2022-03-14
"65 - 69",149,7494,713,8356,2022-03-14
"70 - 74",237,8879,1449,10565,2022-03-14
"75 - 79",252,8570,2438,11260,2022-03-14
"80 - 84",233,7030,2853,10116,2022-03-14
"85 - 89",201,4533,2142,6876,2022-03-14
">90",94,2037,950,3081,2022-03-14
