"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",67,4288,16,4371,2022-10-20
"20 - 24",7,1144,4,1155,2022-10-20
"25 - 29",14,1953,3,1970,2022-10-20
"30 - 34",16,2664,16,2696,2022-10-20
"35 - 39",18,2707,17,2742,2022-10-20
"40 - 44",27,2979,23,3029,2022-10-20
"45 - 49",15,4279,46,4340,2022-10-20
"50 - 54",52,6579,120,6751,2022-10-20
"55 - 59",54,8113,212,8379,2022-10-20
"60 - 64",83,8787,410,9280,2022-10-20
"65 - 69",146,9272,815,10233,2022-10-20
"70 - 74",164,11230,1626,13020,2022-10-20
"75 - 79",238,11383,2736,14357,2022-10-20
"80 - 84",214,9771,3167,13152,2022-10-20
"85 - 89",172,6633,2448,9253,2022-10-20
">90",83,3192,1154,4429,2022-10-20
