"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",66,4671,19,4756,2023-01-19
"20 - 24",3,1195,4,1202,2023-01-19
"25 - 29",12,2044,3,2059,2023-01-19
"30 - 34",14,2783,17,2814,2023-01-19
"35 - 39",16,2830,18,2864,2023-01-19
"40 - 44",15,3090,24,3129,2023-01-19
"45 - 49",12,4417,49,4478,2023-01-19
"50 - 54",29,6823,126,6978,2023-01-19
"55 - 59",53,8440,231,8724,2023-01-19
"60 - 64",52,9310,426,9788,2023-01-19
"65 - 69",91,10001,857,10949,2023-01-19
"70 - 74",103,12158,1700,13961,2023-01-19
"75 - 79",164,12589,2870,15623,2023-01-19
"80 - 84",133,10945,3291,14369,2023-01-19
"85 - 89",113,7568,2567,10248,2023-01-19
">90",51,3673,1238,4962,2023-01-19
