"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",93,2754,10,2857,2022-02-15
"20 - 24",29,857,3,889,2022-02-15
"25 - 29",30,1457,3,1490,2022-02-15
"30 - 34",26,2085,13,2124,2022-02-15
"35 - 39",31,2204,12,2247,2022-02-15
"40 - 44",48,2496,19,2563,2022-02-15
"45 - 49",47,3762,33,3842,2022-02-15
"50 - 54",74,5706,98,5878,2022-02-15
"55 - 59",85,6900,170,7155,2022-02-15
"60 - 64",106,7142,335,7583,2022-02-15
"65 - 69",135,7083,684,7902,2022-02-15
"70 - 74",194,8387,1404,9985,2022-02-15
"75 - 79",199,8084,2358,10641,2022-02-15
"80 - 84",193,6551,2769,9513,2022-02-15
"85 - 89",134,4167,2062,6363,2022-02-15
">90",56,1879,894,2829,2022-02-15
