"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",67,4506,17,4590,2022-12-09
"20 - 24",3,1184,4,1191,2022-12-09
"25 - 29",14,2003,3,2020,2022-12-09
"30 - 34",16,2729,16,2761,2022-12-09
"35 - 39",16,2778,18,2812,2022-12-09
"40 - 44",19,3044,24,3087,2022-12-09
"45 - 49",17,4343,47,4407,2022-12-09
"50 - 54",34,6711,124,6869,2022-12-09
"55 - 59",51,8292,220,8563,2022-12-09
"60 - 64",48,9063,423,9534,2022-12-09
"65 - 69",87,9660,837,10584,2022-12-09
"70 - 74",98,11723,1667,13488,2022-12-09
"75 - 79",141,12047,2813,15001,2022-12-09
"80 - 84",118,10385,3236,13739,2022-12-09
"85 - 89",110,7085,2506,9701,2022-12-09
">90",45,3444,1194,4683,2022-12-09
