"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",69,4532,17,4618,2022-12-15
"20 - 24",4,1185,4,1193,2022-12-15
"25 - 29",16,2009,3,2028,2022-12-15
"30 - 34",12,2735,16,2763,2022-12-15
"35 - 39",15,2782,18,2815,2022-12-15
"40 - 44",21,3048,24,3093,2022-12-15
"45 - 49",19,4349,47,4415,2022-12-15
"50 - 54",33,6722,124,6879,2022-12-15
"55 - 59",53,8313,220,8586,2022-12-15
"60 - 64",50,9087,423,9560,2022-12-15
"65 - 69",98,9688,838,10624,2022-12-15
"70 - 74",97,11767,1671,13535,2022-12-15
"75 - 79",135,12099,2818,15052,2022-12-15
"80 - 84",130,10450,3240,13820,2022-12-15
"85 - 89",107,7144,2515,9766,2022-12-15
">90",52,3460,1198,4710,2022-12-15
