"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",65,4229,15,4309,2022-10-10
"20 - 24",5,1140,4,1149,2022-10-10
"25 - 29",18,1938,3,1959,2022-10-10
"30 - 34",20,2648,16,2684,2022-10-10
"35 - 39",16,2687,17,2720,2022-10-10
"40 - 44",23,2963,23,3009,2022-10-10
"45 - 49",14,4263,46,4323,2022-10-10
"50 - 54",40,6547,119,6706,2022-10-10
"55 - 59",48,8069,211,8328,2022-10-10
"60 - 64",80,8713,407,9200,2022-10-10
"65 - 69",112,9167,811,10090,2022-10-10
"70 - 74",152,11058,1621,12831,2022-10-10
"75 - 79",207,11185,2721,14113,2022-10-10
"80 - 84",205,9547,3145,12897,2022-10-10
"85 - 89",164,6470,2426,9060,2022-10-10
">90",76,3114,1143,4333,2022-10-10
