"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",71,4813,19,4903,2023-03-01
"20 - 24",4,1212,4,1220,2023-03-01
"25 - 29",11,2071,3,2085,2023-03-01
"30 - 34",15,2813,17,2845,2023-03-01
"35 - 39",16,2860,19,2895,2023-03-01
"40 - 44",20,3127,24,3171,2023-03-01
"45 - 49",22,4445,49,4516,2023-03-01
"50 - 54",31,6894,129,7054,2023-03-01
"55 - 59",61,8542,239,8842,2023-03-01
"60 - 64",61,9443,436,9940,2023-03-01
"65 - 69",116,10228,876,11220,2023-03-01
"70 - 74",153,12445,1729,14327,2023-03-01
"75 - 79",174,12997,2919,16090,2023-03-01
"80 - 84",204,11340,3337,14881,2023-03-01
"85 - 89",153,7846,2614,10613,2023-03-01
">90",73,3835,1265,5173,2023-03-01
