"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",74,4484,16,4574,2022-12-05
"20 - 24",4,1182,4,1190,2022-12-05
"25 - 29",14,2000,3,2017,2022-12-05
"30 - 34",15,2724,16,2755,2022-12-05
"35 - 39",12,2775,18,2805,2022-12-05
"40 - 44",18,3035,24,3077,2022-12-05
"45 - 49",15,4338,47,4400,2022-12-05
"50 - 54",41,6695,125,6861,2022-12-05
"55 - 59",56,8273,220,8549,2022-12-05
"60 - 64",69,9027,422,9518,2022-12-05
"65 - 69",98,9626,835,10559,2022-12-05
"70 - 74",116,11676,1664,13456,2022-12-05
"75 - 79",165,11994,2805,14964,2022-12-05
"80 - 84",146,10323,3233,13702,2022-12-05
"85 - 89",118,7047,2502,9667,2022-12-05
">90",48,3426,1192,4666,2022-12-05
