"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",82,4079,15,4176,2022-08-22
"20 - 24",7,1119,3,1129,2022-08-22
"25 - 29",15,1909,3,1927,2022-08-22
"30 - 34",13,2611,16,2640,2022-08-22
"35 - 39",13,2647,17,2677,2022-08-22
"40 - 44",20,2916,23,2959,2022-08-22
"45 - 49",13,4213,45,4271,2022-08-22
"50 - 54",38,6461,116,6615,2022-08-22
"55 - 59",41,7937,207,8185,2022-08-22
"60 - 64",47,8565,403,9015,2022-08-22
"65 - 69",63,8952,792,9807,2022-08-22
"70 - 74",122,10729,1596,12447,2022-08-22
"75 - 79",148,10731,2683,13562,2022-08-22
"80 - 84",127,9119,3101,12347,2022-08-22
"85 - 89",106,6148,2382,8636,2022-08-22
">90",44,2950,1116,4110,2022-08-22
