"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",39,1568,6,1613,2021-10-18
"20 - 24",3,558,3,564,2021-10-18
"25 - 29",13,922,2,937,2021-10-18
"30 - 34",13,1336,11,1360,2021-10-18
"35 - 39",13,1524,10,1547,2021-10-18
"40 - 44",17,1892,13,1922,2021-10-18
"45 - 49",16,3069,28,3113,2021-10-18
"50 - 54",32,4711,77,4820,2021-10-18
"55 - 59",38,5687,134,5859,2021-10-18
"60 - 64",43,5658,249,5950,2021-10-18
"65 - 69",39,5538,523,6100,2021-10-18
"70 - 74",61,6488,1093,7642,2021-10-18
"75 - 79",55,6091,1798,7944,2021-10-18
"80 - 84",62,4769,2064,6895,2021-10-18
"85 - 89",43,2948,1505,4496,2021-10-18
">90",23,1295,641,1959,2021-10-18
