"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",64,4743,19,4826,2023-02-14
"20 - 24",4,1203,4,1211,2023-02-14
"25 - 29",9,2060,3,2072,2023-02-14
"30 - 34",18,2799,17,2834,2023-02-14
"35 - 39",12,2847,18,2877,2023-02-14
"40 - 44",19,3112,24,3155,2023-02-14
"45 - 49",13,4435,49,4497,2023-02-14
"50 - 54",23,6865,129,7017,2023-02-14
"55 - 59",46,8498,235,8779,2023-02-14
"60 - 64",46,9383,433,9862,2023-02-14
"65 - 69",88,10125,867,11080,2023-02-14
"70 - 74",90,12321,1717,14128,2023-02-14
"75 - 79",132,12819,2901,15852,2023-02-14
"80 - 84",131,11180,3315,14626,2023-02-14
"85 - 89",98,7735,2596,10429,2023-02-14
">90",52,3769,1253,5074,2023-02-14
