"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",73,4309,16,4398,2022-10-25
"20 - 24",7,1148,4,1159,2022-10-25
"25 - 29",14,1957,3,1974,2022-10-25
"30 - 34",17,2674,16,2707,2022-10-25
"35 - 39",15,2715,17,2747,2022-10-25
"40 - 44",25,2986,23,3034,2022-10-25
"45 - 49",19,4286,46,4351,2022-10-25
"50 - 54",40,6600,121,6761,2022-10-25
"55 - 59",58,8134,213,8405,2022-10-25
"60 - 64",82,8816,411,9309,2022-10-25
"65 - 69",152,9333,817,10302,2022-10-25
"70 - 74",173,11291,1634,13098,2022-10-25
"75 - 79",242,11473,2752,14467,2022-10-25
"80 - 84",223,9858,3182,13263,2022-10-25
"85 - 89",184,6699,2457,9340,2022-10-25
">90",71,3234,1166,4471,2022-10-25
