"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",29,1541,6,1576,2021-10-10
"20 - 24",3,555,3,561,2021-10-10
"25 - 29",13,911,2,926,2021-10-10
"30 - 34",10,1319,11,1340,2021-10-10
"35 - 39",14,1509,10,1533,2021-10-10
"40 - 44",16,1879,13,1908,2021-10-10
"45 - 49",18,3047,28,3093,2021-10-10
"50 - 54",26,4695,77,4798,2021-10-10
"55 - 59",27,5662,133,5822,2021-10-10
"60 - 64",27,5633,248,5908,2021-10-10
"65 - 69",29,5514,521,6064,2021-10-10
"70 - 74",37,6466,1091,7594,2021-10-10
"75 - 79",41,6067,1792,7900,2021-10-10
"80 - 84",46,4745,2054,6845,2021-10-10
"85 - 89",26,2934,1499,4459,2021-10-10
">90",13,1291,636,1940,2021-10-10
