"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",62,4706,19,4787,2023-01-30
"20 - 24",5,1198,4,1207,2023-01-30
"25 - 29",11,2050,3,2064,2023-01-30
"30 - 34",15,2792,17,2824,2023-01-30
"35 - 39",10,2839,18,2867,2023-01-30
"40 - 44",15,3097,24,3136,2023-01-30
"45 - 49",12,4424,49,4485,2023-01-30
"50 - 54",32,6834,127,6993,2023-01-30
"55 - 59",39,8472,231,8742,2023-01-30
"60 - 64",46,9341,429,9816,2023-01-30
"65 - 69",77,10058,859,10994,2023-01-30
"70 - 74",83,12234,1710,14027,2023-01-30
"75 - 79",142,12691,2886,15719,2023-01-30
"80 - 84",123,11043,3300,14466,2023-01-30
"85 - 89",99,7648,2581,10328,2023-01-30
">90",49,3713,1246,5008,2023-01-30
