"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",75,4625,17,4717,2023-01-03
"20 - 24",3,1192,4,1199,2023-01-03
"25 - 29",15,2031,3,2049,2023-01-03
"30 - 34",23,2760,17,2800,2023-01-03
"35 - 39",19,2800,18,2837,2023-01-03
"40 - 44",20,3069,24,3113,2023-01-03
"45 - 49",24,4382,47,4453,2023-01-03
"50 - 54",37,6772,125,6934,2023-01-03
"55 - 59",62,8368,227,8657,2023-01-03
"60 - 64",67,9185,426,9678,2023-01-03
"65 - 69",115,9811,843,10769,2023-01-03
"70 - 74",130,11941,1683,13754,2023-01-03
"75 - 79",187,12316,2842,15345,2023-01-03
"80 - 84",175,10647,3262,14084,2023-01-03
"85 - 89",178,7309,2537,10024,2023-01-03
">90",75,3557,1220,4852,2023-01-03
