"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",56,1943,11,2010,2021-12-16
"20 - 24",10,666,3,679,2021-12-16
"25 - 29",22,1118,2,1142,2021-12-16
"30 - 34",38,1616,12,1666,2021-12-16
"35 - 39",31,1814,11,1856,2021-12-16
"40 - 44",46,2187,16,2249,2021-12-16
"45 - 49",53,3437,30,3520,2021-12-16
"50 - 54",111,5198,86,5395,2021-12-16
"55 - 59",109,6266,154,6529,2021-12-16
"60 - 64",148,6438,287,6873,2021-12-16
"65 - 69",185,6363,607,7155,2021-12-16
"70 - 74",252,7484,1283,9019,2021-12-16
"75 - 79",313,7183,2151,9647,2021-12-16
"80 - 84",254,5788,2530,8572,2021-12-16
"85 - 89",170,3684,1881,5735,2021-12-16
">90",75,1635,810,2520,2021-12-16
