"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",68,4841,18,4927,2023-03-07
"20 - 24",7,1215,4,1226,2023-03-07
"25 - 29",11,2077,3,2091,2023-03-07
"30 - 34",16,2819,17,2852,2023-03-07
"35 - 39",15,2867,19,2901,2023-03-07
"40 - 44",22,3138,25,3185,2023-03-07
"45 - 49",18,4461,49,4528,2023-03-07
"50 - 54",35,6907,129,7071,2023-03-07
"55 - 59",78,8560,239,8877,2023-03-07
"60 - 64",69,9476,438,9983,2023-03-07
"65 - 69",120,10280,879,11279,2023-03-07
"70 - 74",155,12520,1733,14408,2023-03-07
"75 - 79",217,13081,2927,16225,2023-03-07
"80 - 84",213,11425,3343,14981,2023-03-07
"85 - 89",164,7918,2622,10704,2023-03-07
">90",89,3873,1268,5230,2023-03-07
