"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",82,4027,16,4125,2022-08-05
"20 - 24",9,1107,3,1119,2022-08-05
"25 - 29",16,1887,3,1906,2022-08-05
"30 - 34",18,2593,15,2626,2022-08-05
"35 - 39",11,2634,17,2662,2022-08-05
"40 - 44",16,2897,22,2935,2022-08-05
"45 - 49",14,4197,45,4256,2022-08-05
"50 - 54",40,6423,116,6579,2022-08-05
"55 - 59",57,7889,203,8149,2022-08-05
"60 - 64",72,8491,402,8965,2022-08-05
"65 - 69",93,8846,786,9725,2022-08-05
"70 - 74",150,10579,1583,12312,2022-08-05
"75 - 79",167,10553,2666,13386,2022-08-05
"80 - 84",174,8932,3079,12185,2022-08-05
"85 - 89",119,6015,2360,8494,2022-08-05
">90",72,2855,1102,4029,2022-08-05
