"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",71,3748,12,3831,2022-06-08
"20 - 24",6,1050,3,1059,2022-06-08
"25 - 29",11,1807,3,1821,2022-06-08
"30 - 34",10,2497,15,2522,2022-06-08
"35 - 39",11,2554,16,2581,2022-06-08
"40 - 44",16,2816,22,2854,2022-06-08
"45 - 49",14,4092,42,4148,2022-06-08
"50 - 54",42,6290,112,6444,2022-06-08
"55 - 59",39,7654,198,7891,2022-06-08
"60 - 64",39,8158,385,8582,2022-06-08
"65 - 69",68,8389,761,9218,2022-06-08
"70 - 74",87,10029,1543,11659,2022-06-08
"75 - 79",118,9812,2600,12530,2022-06-08
"80 - 84",91,8266,3014,11371,2022-06-08
"85 - 89",79,5491,2291,7861,2022-06-08
">90",36,2558,1053,3647,2022-06-08
