"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",63,4692,18,4773,2023-01-25
"20 - 24",4,1196,4,1204,2023-01-25
"25 - 29",12,2047,3,2062,2023-01-25
"30 - 34",14,2787,17,2818,2023-01-25
"35 - 39",15,2833,18,2866,2023-01-25
"40 - 44",14,3094,24,3132,2023-01-25
"45 - 49",14,4421,49,4484,2023-01-25
"50 - 54",31,6830,126,6987,2023-01-25
"55 - 59",44,8463,231,8738,2023-01-25
"60 - 64",45,9333,429,9807,2023-01-25
"65 - 69",82,10034,859,10975,2023-01-25
"70 - 74",100,12200,1704,14004,2023-01-25
"75 - 79",141,12652,2880,15673,2023-01-25
"80 - 84",132,11013,3294,14439,2023-01-25
"85 - 89",95,7625,2576,10296,2023-01-25
">90",49,3703,1241,4993,2023-01-25
