"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",76,3527,11,3614,2022-04-06
"20 - 24",8,1021,3,1032,2022-04-06
"25 - 29",16,1732,3,1751,2022-04-06
"30 - 34",23,2415,15,2453,2022-04-06
"35 - 39",25,2496,14,2535,2022-04-06
"40 - 44",31,2747,22,2800,2022-04-06
"45 - 49",34,4010,41,4085,2022-04-06
"50 - 54",58,6134,110,6302,2022-04-06
"55 - 59",83,7446,186,7715,2022-04-06
"60 - 64",116,7849,363,8328,2022-04-06
"65 - 69",181,7959,736,8876,2022-04-06
"70 - 74",244,9457,1502,11203,2022-04-06
"75 - 79",278,9200,2519,11997,2022-04-06
"80 - 84",256,7680,2941,10877,2022-04-06
"85 - 89",191,5020,2225,7436,2022-04-06
">90",109,2301,999,3409,2022-04-06
