"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",77,3794,12,3883,2022-06-22
"20 - 24",5,1060,3,1068,2022-06-22
"25 - 29",12,1817,3,1832,2022-06-22
"30 - 34",12,2504,15,2531,2022-06-22
"35 - 39",11,2560,16,2587,2022-06-22
"40 - 44",18,2834,22,2874,2022-06-22
"45 - 49",18,4104,42,4164,2022-06-22
"50 - 54",44,6313,113,6470,2022-06-22
"55 - 59",43,7689,198,7930,2022-06-22
"60 - 64",56,8186,386,8628,2022-06-22
"65 - 69",86,8441,762,9289,2022-06-22
"70 - 74",96,10102,1547,11745,2022-06-22
"75 - 79",156,9897,2608,12661,2022-06-22
"80 - 84",127,8334,3023,11484,2022-06-22
"85 - 89",102,5564,2300,7966,2022-06-22
">90",53,2597,1061,3711,2022-06-22
