"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",83,3552,11,3646,2022-04-09
"20 - 24",5,1027,3,1035,2022-04-09
"25 - 29",15,1739,3,1757,2022-04-09
"30 - 34",18,2427,15,2460,2022-04-09
"35 - 39",20,2504,14,2538,2022-04-09
"40 - 44",27,2758,22,2807,2022-04-09
"45 - 49",36,4019,41,4096,2022-04-09
"50 - 54",62,6143,110,6315,2022-04-09
"55 - 59",88,7466,187,7741,2022-04-09
"60 - 64",114,7880,365,8359,2022-04-09
"65 - 69",169,7999,739,8907,2022-04-09
"70 - 74",210,9530,1507,11247,2022-04-09
"75 - 79",268,9274,2530,12072,2022-04-09
"80 - 84",223,7756,2946,10925,2022-04-09
"85 - 89",168,5077,2230,7475,2022-04-09
">90",94,2335,1002,3431,2022-04-09
