"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",47,2084,10,2141,2022-01-09
"20 - 24",4,705,3,712,2022-01-09
"25 - 29",22,1189,3,1214,2022-01-09
"30 - 34",16,1729,13,1758,2022-01-09
"35 - 39",32,1917,12,1961,2022-01-09
"40 - 44",22,2296,17,2335,2022-01-09
"45 - 49",32,3566,31,3629,2022-01-09
"50 - 54",64,5419,90,5573,2022-01-09
"55 - 59",80,6523,161,6764,2022-01-09
"60 - 64",100,6751,312,7163,2022-01-09
"65 - 69",107,6728,650,7485,2022-01-09
"70 - 74",148,7933,1347,9428,2022-01-09
"75 - 79",173,7647,2265,10085,2022-01-09
"80 - 84",128,6137,2663,8928,2022-01-09
"85 - 89",78,3891,1977,5946,2022-01-09
">90",36,1742,852,2630,2022-01-09
