"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",65,4337,16,4418,2022-11-01
"20 - 24",6,1155,4,1165,2022-11-01
"25 - 29",14,1962,3,1979,2022-11-01
"30 - 34",17,2679,16,2712,2022-11-01
"35 - 39",22,2721,17,2760,2022-11-01
"40 - 44",22,2999,24,3045,2022-11-01
"45 - 49",15,4296,46,4357,2022-11-01
"50 - 54",48,6614,121,6783,2022-11-01
"55 - 59",55,8172,215,8442,2022-11-01
"60 - 64",80,8862,411,9353,2022-11-01
"65 - 69",131,9415,818,10364,2022-11-01
"70 - 74",147,11392,1638,13177,2022-11-01
"75 - 79",211,11605,2766,14582,2022-11-01
"80 - 84",200,9972,3190,13362,2022-11-01
"85 - 89",161,6798,2468,9427,2022-11-01
">90",66,3276,1173,4515,2022-11-01
