"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",66,4397,16,4479,2022-11-03
"20 - 24",7,1165,4,1176,2022-11-03
"25 - 29",13,1978,3,1994,2022-11-03
"30 - 34",17,2693,16,2726,2022-11-03
"35 - 39",22,2746,17,2785,2022-11-03
"40 - 44",21,3009,24,3054,2022-11-03
"45 - 49",15,4308,46,4369,2022-11-03
"50 - 54",47,6638,124,6809,2022-11-03
"55 - 59",53,8196,218,8467,2022-11-03
"60 - 64",74,8903,411,9388,2022-11-03
"65 - 69",124,9457,821,10402,2022-11-03
"70 - 74",137,11447,1645,13229,2022-11-03
"75 - 79",204,11656,2774,14634,2022-11-03
"80 - 84",182,10022,3194,13398,2022-11-03
"85 - 89",156,6833,2470,9459,2022-11-03
">90",66,3289,1177,4532,2022-11-03
