"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",31,1506,6,1543,2021-09-28
"20 - 24",1,551,3,555,2021-09-28
"25 - 29",8,902,2,912,2021-09-28
"30 - 34",8,1302,11,1321,2021-09-28
"35 - 39",11,1489,10,1510,2021-09-28
"40 - 44",15,1858,13,1886,2021-09-28
"45 - 49",11,3027,28,3066,2021-09-28
"50 - 54",30,4657,77,4764,2021-09-28
"55 - 59",30,5631,133,5794,2021-09-28
"60 - 64",30,5607,246,5883,2021-09-28
"65 - 69",27,5491,520,6038,2021-09-28
"70 - 74",28,6439,1089,7556,2021-09-28
"75 - 79",29,6040,1789,7858,2021-09-28
"80 - 84",42,4715,2040,6797,2021-09-28
"85 - 89",25,2914,1495,4434,2021-09-28
">90",8,1283,631,1922,2021-09-28
