"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",35,1608,6,1649,2021-10-27
"20 - 24",6,566,3,575,2021-10-27
"25 - 29",14,934,2,950,2021-10-27
"30 - 34",10,1364,11,1385,2021-10-27
"35 - 39",20,1536,10,1566,2021-10-27
"40 - 44",21,1913,13,1947,2021-10-27
"45 - 49",16,3101,28,3145,2021-10-27
"50 - 54",32,4740,77,4849,2021-10-27
"55 - 59",35,5726,136,5897,2021-10-27
"60 - 64",47,5700,251,5998,2021-10-27
"65 - 69",52,5579,524,6155,2021-10-27
"70 - 74",81,6535,1101,7717,2021-10-27
"75 - 79",102,6138,1803,8043,2021-10-27
"80 - 84",112,4820,2079,7011,2021-10-27
"85 - 89",77,2978,1523,4578,2021-10-27
">90",34,1314,650,1998,2021-10-27
