"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",36,1376,6,1418,2021-08-10
"20 - 24",8,492,3,503,2021-08-10
"25 - 29",16,802,2,820,2021-08-10
"30 - 34",18,1177,10,1205,2021-08-10
"35 - 39",10,1361,10,1381,2021-08-10
"40 - 44",18,1702,12,1732,2021-08-10
"45 - 49",26,2881,25,2932,2021-08-10
"50 - 54",38,4471,77,4586,2021-08-10
"55 - 59",35,5440,130,5605,2021-08-10
"60 - 64",35,5441,243,5719,2021-08-10
"65 - 69",44,5327,506,5877,2021-08-10
"70 - 74",43,6277,1064,7384,2021-08-10
"75 - 79",51,5880,1733,7664,2021-08-10
"80 - 84",38,4570,1977,6585,2021-08-10
"85 - 89",40,2805,1452,4297,2021-08-10
">90",23,1229,609,1861,2021-08-10
