"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",36,1595,6,1637,2021-10-24
"20 - 24",5,559,3,567,2021-10-24
"25 - 29",9,932,2,943,2021-10-24
"30 - 34",13,1347,11,1371,2021-10-24
"35 - 39",13,1532,10,1555,2021-10-24
"40 - 44",18,1902,13,1933,2021-10-24
"45 - 49",25,3081,28,3134,2021-10-24
"50 - 54",35,4727,77,4839,2021-10-24
"55 - 59",44,5706,135,5885,2021-10-24
"60 - 64",43,5687,251,5981,2021-10-24
"65 - 69",42,5567,523,6132,2021-10-24
"70 - 74",72,6514,1098,7684,2021-10-24
"75 - 79",66,6120,1799,7985,2021-10-24
"80 - 84",86,4800,2069,6955,2021-10-24
"85 - 89",65,2965,1513,4543,2021-10-24
">90",28,1307,644,1979,2021-10-24
