"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",75,4058,15,4148,2022-08-16
"20 - 24",9,1114,3,1126,2022-08-16
"25 - 29",13,1902,3,1918,2022-08-16
"30 - 34",16,2605,16,2637,2022-08-16
"35 - 39",11,2646,17,2674,2022-08-16
"40 - 44",16,2909,23,2948,2022-08-16
"45 - 49",15,4208,45,4268,2022-08-16
"50 - 54",36,6449,116,6601,2022-08-16
"55 - 59",49,7922,206,8177,2022-08-16
"60 - 64",53,8539,403,8995,2022-08-16
"65 - 69",92,8906,789,9787,2022-08-16
"70 - 74",121,10690,1592,12403,2022-08-16
"75 - 79",168,10661,2674,13503,2022-08-16
"80 - 84",140,9058,3095,12293,2022-08-16
"85 - 89",114,6102,2376,8592,2022-08-16
">90",62,2915,1112,4089,2022-08-16
