"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",75,3799,12,3886,2022-06-23
"20 - 24",5,1061,3,1069,2022-06-23
"25 - 29",10,1819,3,1832,2022-06-23
"30 - 34",13,2505,15,2533,2022-06-23
"35 - 39",12,2560,16,2588,2022-06-23
"40 - 44",17,2836,22,2875,2022-06-23
"45 - 49",17,4106,42,4165,2022-06-23
"50 - 54",43,6317,112,6472,2022-06-23
"55 - 59",43,7693,198,7934,2022-06-23
"60 - 64",54,8193,386,8633,2022-06-23
"65 - 69",87,8450,763,9300,2022-06-23
"70 - 74",102,10108,1548,11758,2022-06-23
"75 - 79",154,9914,2609,12677,2022-06-23
"80 - 84",130,8345,3023,11498,2022-06-23
"85 - 89",98,5572,2304,7974,2022-06-23
">90",51,2602,1061,3714,2022-06-23
