"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",82,3385,12,3479,2022-03-25
"20 - 24",10,1006,3,1019,2022-03-25
"25 - 29",26,1692,3,1721,2022-03-25
"30 - 34",36,2354,14,2404,2022-03-25
"35 - 39",24,2451,13,2488,2022-03-25
"40 - 44",30,2709,21,2760,2022-03-25
"45 - 49",35,3965,40,4040,2022-03-25
"50 - 54",72,6041,107,6220,2022-03-25
"55 - 59",102,7319,180,7601,2022-03-25
"60 - 64",131,7680,355,8166,2022-03-25
"65 - 69",183,7748,721,8652,2022-03-25
"70 - 74",224,9184,1477,10885,2022-03-25
"75 - 79",279,8916,2478,11673,2022-03-25
"80 - 84",256,7386,2901,10543,2022-03-25
"85 - 89",202,4786,2190,7178,2022-03-25
">90",118,2161,976,3255,2022-03-25
